id,template,type,question,answer
1,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [5, 16, _, 28, 30, _], average 131/6, squared-spread seal 3173/36 -> 20
Ordered values [3, 5, 6, _, 27, 30, _], average 118/7, squared-spread seal 6488/49 -> 16

Now repair this ledger:
Ordered values [1, _, _, 23, 30, 36], average 17, squared-spread seal 548/3
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",2
2,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 8, _, 32, 33, 34, 35], average 172/7, squared-spread seal 7838/49 -> 2
Ordered values [_, 13, 14, 17, 22, 24, 31, _], average 79/4, squared-spread seal 1319/16 -> 4

Now repair this ledger:
Ordered values [_, 5, _, 9, 17, 24, 32], average 96/7, squared-spread seal 5204/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",1
3,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 23, 24, _, 31, 34], average 71/3, squared-spread seal 830/9 -> 4
Ordered values [10, 11, 12, 26, _, _], average 127/6, squared-spread seal 4001/36 -> 33

Now repair this ledger:
Ordered values [3, 4, 11, 12, _, _], average 38/3, squared-spread seal 590/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",21
4,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, _, 4, 11, 17, _, 31, 32], average 119/8, squared-spread seal 8119/64 -> 3
Ordered values [1, 11, _, 26, 29, 30, 34, _], average 187/8, squared-spread seal 7919/64 -> 21

Now repair this ledger:
Ordered values [1, 8, 13, _, 15, 16, _], average 13, squared-spread seal 304/7
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",14
5,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, _, 6, _, 15, 24, 31, 33], average 63/4, squared-spread seal 2119/16 -> 3
Ordered values [1, 6, _, 14, 27, 28, 32, _], average 153/8, squared-spread seal 9351/64 -> 10

Now repair this ledger:
Ordered values [3, _, 15, _, 23, 27, 29], average 17, squared-spread seal 86
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
6,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 7, 18, _, 31, 35, 36], average 156/7, squared-spread seal 6856/49 -> 5
Ordered values [4, 9, _, 14, 15, 23, 32, _], average 143/8, squared-spread seal 7287/64 -> 10

Now repair this ledger:
Ordered values [2, 5, 16, _, _, 29, 32, 34], average 79/4, squared-spread seal 2007/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",17
7,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, 8, 16, _, 33], average 15, squared-spread seal 304/3 -> 7
Ordered values [4, 22, 27, _, _, 33], average 149/6, squared-spread seal 3617/36 -> 31

Now repair this ledger:
Ordered values [_, _, 9, 10, 13, 17], average 21/2, squared-spread seal 155/12
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
8,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, 12, _, 20, 23, 25, _, 36], average 85/4, squared-spread seal 1491/16 -> 18
Ordered values [_, 6, 16, 18, 25, 26, 29, _], average 19, squared-spread seal 104 -> 1

Now repair this ledger:
Ordered values [4, 8, _, 14, _, 20, 21, 28], average 31/2, squared-spread seal 101/2
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",13
9,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 9, _, 26, 29, 34, 35], average 21, squared-spread seal 146 -> 3
Ordered values [1, _, 18, 21, 25, 29, _], average 137/7, squared-spread seal 4870/49 -> 11

Now repair this ledger:
Ordered values [8, _, 28, 29, 31, _, 35], average 190/7, squared-spread seal 3492/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",25
10,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [11, 12, 14, 18, 20, _, _, 35], average 43/2, squared-spread seal 159/2 -> 30
Ordered values [_, 13, 15, 19, 22, _], average 39/2, squared-spread seal 265/4 -> 12

Now repair this ledger:
Ordered values [_, _, 12, 21, 22, 23, 24, 29], average 35/2, squared-spread seal 305/4
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",3
