id,template,type,question,answer
1,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 8, 9, _, 25, 30, 33, 34], average 39/2, squared-spread seal 539/4 -> 3
Ordered values [4, 8, _, 12, _, 15, 16, 32], average 111/8, squared-spread seal 3831/64 -> 11

Now repair this ledger:
Ordered values [1, 4, 6, 11, 13, 25, _, _], average 57/4, squared-spread seal 1607/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",26
2,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [7, 11, 14, 17, 20, 28, _, _], average 20, squared-spread seal 157/2 -> 30
Ordered values [1, _, 13, _, 30, 34], average 113/6, squared-spread seal 4769/36 -> 11

Now repair this ledger:
Ordered values [2, 6, 9, 14, _, 17, _, 29], average 14, squared-spread seal 62
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",16
3,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [9, 14, _, 30, 32, _, 36], average 169/7, squared-spread seal 5116/49 -> 15
Ordered values [1, 4, _, 21, _, 35], average 49/3, squared-spread seal 1547/9 -> 7

Now repair this ledger:
Ordered values [4, _, 20, 23, _, 34], average 61/3, squared-spread seal 818/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",14
4,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [6, _, _, 19, 23, 26], average 50/3, squared-spread seal 413/9 -> 12
Ordered values [_, 17, 20, _, 31, 35], average 139/6, squared-spread seal 1925/36 -> 15

Now repair this ledger:
Ordered values [3, 7, _, 17, _, 19, 24, 34], average 135/8, squared-spread seal 5239/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",13
5,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, _, 12, _, 22, 29, 36], average 120/7, squared-spread seal 7258/49 -> 2
Ordered values [2, 7, 9, 13, _, 21, 30, _], average 135/8, squared-spread seal 7319/64 -> 18

Now repair this ledger:
Ordered values [1, 12, 26, _, _, 30, 34], average 160/7, squared-spread seal 5914/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",28
6,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 9, _, 13, 22, 25, 26, 27], average 139/8, squared-spread seal 4143/64 -> 5
Ordered values [4, 8, _, 20, _, 27, 28, 36], average 155/8, squared-spread seal 6783/64 -> 11

Now repair this ledger:
Ordered values [1, 2, _, 23, _, 29, 33], average 136/7, squared-spread seal 6942/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",21
7,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, 10, 16, 18, _, 29], average 104/7, squared-spread seal 3282/49 -> 6
Ordered values [2, 5, 9, _, 21, _], average 79/6, squared-spread seal 2945/36 -> 14

Now repair this ledger:
Ordered values [_, 17, 19, _, 31, 36], average 43/2, squared-spread seal 1267/12
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",4
8,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [5, 10, 17, _, 30, _, 36], average 156/7, squared-spread seal 6212/49 -> 23
Ordered values [_, 14, 15, _, 26, 34, 35], average 151/7, squared-spread seal 4688/49 -> 7

Now repair this ledger:
Ordered values [2, _, 12, _, 24, 25], average 85/6, squared-spread seal 2753/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",5
9,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [6, _, _, 15, 23, 27], average 16, squared-spread seal 148/3 -> 12
Ordered values [4, _, 13, 22, _, 31, 32, 35], average 171/8, squared-spread seal 6991/64 -> 11

Now repair this ledger:
Ordered values [_, _, 11, 15, 17, 25], average 27/2, squared-spread seal 503/12
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
10,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, 11, 13, 22, 23, _, _], average 128/7, squared-spread seal 4140/49 -> 28
Ordered values [3, 15, 16, 19, 21, _, 30, _], average 167/8, squared-spread seal 5719/64 -> 28

Now repair this ledger:
Ordered values [2, 5, 12, _, 17, 27, 32, _], average 143/8, squared-spread seal 7783/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",15
